,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
403,BS CRIM,CCJE,61.05,48.4,80.93,53.82,43.49,63.6,287.69,57.538,109.45,97.31
604,BS COE,COE,63.53,54.75,51.68,63.45,63.1,63.6,296.51,59.302,118.28,126.55
686,BS EE,COE,47,15.12,93.41,44.18,95.65,63.6,295.36,59.072,62.12,139.83
736,BS GE,COE,61.05,66.85,66.81,34.54,63.1,63.6,292.35,58.47,127.9,97.64
749,BS ME,COE,47,54.75,72.66,75.28,72.9,63.6,322.59,64.518,101.75,148.18
848,BSIE,COE,55.84,30.03,51.68,94.54,53.29,63.6,285.38,57.076,85.87,147.83
920,BS HE,CHE,70.75,66.85,36.55,34.54,63.1,63.6,271.79,54.358,137.6,97.64
924,BS HE,CHE,58.56,77.12,59.25,53.82,43.49,63.6,292.24,58.448,135.68,97.31
1000,BSHM,CHE,37.99,61.11,94.84,44.18,63.1,63.6,301.22,60.244,99.1,107.28
1027,BSCS,CCS,74.8,30.03,72.66,34.54,53.29,63.6,265.32,53.064,104.83,87.83
1052,BSCS,CCS,37.99,48.4,66.81,84.63,87.72,63.6,325.55,65.11,86.39,172.35
1057,BSCS,CCS,58.56,48.4,59.25,79.96,53.29,63.6,299.46,59.892,106.96,133.25
1062,BSCS,CCS,74.8,25.06,36.55,75.28,63.1,63.6,274.79,54.958,99.86,138.38
1069,BSCS,CCS,72.78,77.12,29.96,24.91,53.29,63.6,258.06,51.612,149.9,78.2
1210,AB ENG,CLA,58.56,54.75,29.96,79.96,79.78,63.6,303.01,60.602,113.31,159.74
1230,AB ENG,CLA,58.56,48.4,80.93,44.18,63.1,63.6,295.17,59.034,106.96,107.28
1240,AB ENG,CLA,76.83,30.03,44.12,70.61,43.49,63.6,265.08,53.016,106.86,114.1
1270,AB FIL,CLA,68.5,54.75,72.66,24.91,53.29,63.6,274.11,54.822,123.25,78.2
1271,AB FIL,CLA,63.53,61.11,59.25,44.18,63.1,63.6,291.17,58.234,124.64,107.28
1278,AB FIL,CLA,58.56,87.4,51.68,34.54,53.29,63.6,285.47,57.094,145.96,87.83
1291,AB FIL,CLA,61.05,42.05,66.81,63.45,72.9,63.6,306.26,61.252,103.1,136.35
1315,AB JOURN,CLA,66.01,48.4,76.79,79.96,9.69,63.6,280.85,56.17,114.41,89.65
1320,AB JOURN,CLA,72.78,54.75,44.12,53.82,43.49,63.6,268.96,53.792,127.53,97.31
1344,AB POLSCI,CLA,49.95,54.75,66.81,34.54,95.65,63.6,301.7,60.34,104.7,130.19
1397,AB POLSCI,CLA,55.84,66.85,80.93,14.31,79.78,63.6,297.71,59.542,122.69,94.09
1467,ABMC-BROAD,CLA,70.75,82.26,36.55,53.82,20.6,63.6,263.98,52.796,153.01,74.42
