,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
56,BS GE,COE,66.01,61.11,76.79,75.28,72.9,73.34,352.09,70.418,127.12,148.18
57,BS ME,COE,82.02,66.85,51.68,18.16,83.75,73.34,302.46,60.492,148.87,101.91
58,BSIE,COE,66.01,87.4,59.25,79.96,43.49,73.34,336.11,67.222,153.41,123.45
59,BS ABE,COE,82.02,54.75,66.81,44.18,72.9,74.25,320.66,64.132,136.77,117.08
60,BS EE,COE,55.84,77.12,89.19,75.28,63.1,74.25,360.53,72.106,132.96,138.38
61,BS ENE,COE,61.05,71.99,59.25,89.31,79.78,74.25,361.38,72.276,133.04,169.09
62,BS ME,COE,68.5,54.75,51.68,93.38,72.9,74.25,341.21,68.242,123.25,166.28
63,BSIE,COE,58.56,87.4,72.66,70.61,79.78,74.25,369.01,73.802,145.96,150.39
64,BSIE,COE,87.6,42.05,59.25,44.18,63.1,74.25,296.18,59.236,129.65,107.28
65,BSIE,COE,52.9,66.85,76.79,92.22,79.78,74.25,368.54,73.708,119.75,172.0
66,BS CE,COE,83.47,35.7,44.12,53.82,95.65,75.16,312.76,62.552,119.17,149.47
67,BS COE,COE,87.6,77.12,51.68,24.91,43.49,75.16,284.8,56.96,164.72,68.4
68,BS EE,COE,78.85,48.4,85.06,53.82,63.1,75.16,329.23,65.846,127.25,116.92
69,BS EE,COE,47.0,71.99,89.19,75.28,91.68,75.16,375.14,75.028,118.99,166.96
70,BS ME,COE,55.84,61.11,85.06,75.28,91.68,75.16,368.97,73.794,116.95,166.96
71,BS ME,COE,74.8,42.05,80.93,84.63,53.29,75.16,335.7,67.14,116.85,137.92
72,BS SE,COE,58.56,48.4,59.25,95.71,87.72,75.16,349.64,69.928,106.96,183.43
73,BSIE,COE,86.35,82.26,59.25,34.54,26.06,75.16,288.46,57.692,168.61,60.6
74,BSIE,COE,72.78,82.26,44.12,70.61,79.78,75.16,349.55,69.91,155.04,150.39
75,BS GE,COE,61.05,71.99,59.25,94.54,72.9,76.07,359.73,71.946,133.04,167.44
76,BS ME,COE,72.78,77.12,29.96,89.31,79.78,76.07,348.95,69.79,149.9,169.09
77,BS SE,COE,68.5,77.12,85.06,63.45,63.1,76.07,357.23,71.446,145.62,126.55
78,BSIE,COE,47.0,92.88,80.93,89.31,63.1,76.07,373.22,74.644,139.88,152.41
79,BS COE,COE,61.05,71.99,72.66,92.22,79.78,76.98,377.7,75.54,133.04,172.0
80,BS GE,COE,80.58,61.11,76.79,75.28,43.49,76.98,337.25,67.45,141.69,118.77
81,BS SE,COE,68.5,61.11,76.79,93.38,53.29,76.98,353.07,70.614,129.61,146.67
82,BS ABE,COE,86.35,66.85,51.68,92.22,15.15,77.9,312.25,62.45,153.2,107.37
83,BS GE,COE,94.11,66.85,13.15,44.18,63.1,77.9,281.39,56.278,160.96,107.28
84,BS ME,COE,78.85,71.99,72.66,70.61,63.1,77.9,357.21,71.442,150.84,133.71
85,BS ME,COE,66.01,87.4,51.68,79.96,87.72,77.9,372.77,74.554,153.41,167.68
86,BS ME,COE,78.85,42.05,85.06,70.61,79.78,77.9,356.35,71.27,120.9,150.39
87,BS SE,COE,83.47,71.99,72.66,70.61,33.69,77.9,332.42,66.484,155.46,104.3
88,BS CE,COE,52.9,66.85,72.66,93.38,97.87,78.81,383.66,76.732,119.75,191.25
89,BS COE,COE,86.35,54.75,72.66,53.82,72.9,78.81,340.48,68.096,141.1,126.72
90,BS ECE,COE,72.78,42.05,72.66,89.31,91.68,78.81,368.48,73.696,114.83,180.99
91,BS GE,COE,87.6,54.75,76.79,24.91,79.78,78.81,323.83,64.766,142.35,104.69
92,BSIE,COE,66.01,82.26,76.79,79.96,79.78,78.81,384.8,76.96,148.27,159.74
93,BS ABE,COE,58.56,77.12,91.97,93.38,53.29,79.72,374.32,74.864,135.68,146.67
94,BS COE,COE,83.47,77.12,59.25,63.45,72.9,79.72,356.19,71.238,160.59,136.35
95,BS COE,COE,70.75,77.12,93.41,53.82,72.9,79.72,368.0,73.6,147.87,126.72
96,BS EE,COE,90.77,90.94,29.96,63.45,26.06,79.72,301.18,60.236,181.71,89.51
97,BS ENE,COE,74.8,77.12,80.93,44.18,87.72,79.72,364.75,72.95,151.92,131.9
98,BS GE,COE,80.58,87.4,59.25,70.61,63.1,79.72,360.94,72.188,167.98,133.71
99,BS ME,COE,89.71,42.05,66.81,63.45,72.9,79.72,334.92,66.984,131.76,136.35
100,AB ENG,CLA,55.84,71.99,51.68,79.96,15.15,60.09,274.62,54.924,127.83,95.11
101,AB ENG,CLA,58.56,71.99,36.55,89.31,9.69,60.09,266.1,53.22,130.55,99.0
102,AB ENG,CLA,55.84,30.03,76.79,24.91,87.72,60.09,275.29,55.058,85.87,112.63
103,AB FIL,CLA,68.5,48.4,18.75,63.45,72.9,60.09,272.0,54.4,116.9,136.35
104,AB FIL,CLA,52.9,66.85,72.66,63.45,26.06,60.09,281.92,56.384,119.75,89.51
105,AB FIL,CLA,52.9,42.05,80.93,53.82,53.29,60.09,282.99,56.598,94.95,107.11
106,AB JOURN,CLA,37.99,66.85,51.68,70.61,83.75,60.09,310.88,62.176,104.84,154.36
107,AB JOURN,CLA,63.53,61.11,59.25,18.16,63.1,60.09,265.15,53.03,124.64,81.26
108,AB POLSCI,CLA,58.56,61.11,36.55,70.61,53.29,60.09,280.12,56.024,119.67,123.9
109,ABMC-BROAD,CLA,41.05,77.12,66.81,53.82,63.1,60.09,301.9,60.38,118.17,116.92
